Year|Month|DayofMonth|DayOfWeek|DepTime|CRSDepTime|ArrTime|CRSArrTime|UniqueCarrier|FlightNum|TailNum|ActualElapsedTime|CRSElapsedTime|AirTime|ArrDelay|DepDelay|Origin|Dest|Distance|TaxiIn|TaxiOut|Cancelled|CancellationCode|Diverted|CarrierDelay|WeatherDelay|NASDelay|SecurityDelay|LateAircraftDelay
2008|2|14|4|1603|1525|1741|1715|AS|418|N969AS|98|110|78|26|38|PDX|SJC|569|6|14|0||0|0|0|0|0|26
2008|10|2|4|708|715|1042|1055|AA|300|N508AA|154|160|134|-13|-7|DFW|RDU|1062|5|15|0||0|NA|NA|NA|NA|NA
2008|8|13|3|848|850|1225|1233|XE|2006|N21129|157|163|141|-8|-2|MCI|EWR|1092|5|11|0||0|NA|NA|NA|NA|NA
2008|3|16|7|1145|1150|1448|1448|CO|411|N77303|243|238|208|0|-5|EWR|IAH|1400|11|24|0||0|NA|NA|NA|NA|NA
2008|10|22|3|2037|2040|2136|2140|WN|410|N706SW|59|60|44|-4|-3|LAS|BUR|223|6|9|0||0|NA|NA|NA|NA|NA
2008|6|4|3|1428|1435|1529|1535|MQ|3903|N858AE|61|60|39|-6|-7|ORD|CID|196|12|10|0||0|NA|NA|NA|NA|NA
2008|4|18|5|33|1240|200|1410|MQ|4651|N733KR|87|90|63|710|713|EWR|RDU|416|3|21|0||0|707|0|0|0|3
2008|9|2|2|1110|1022|1315|1239|DL|1011|N929DL|125|137|94|36|48|PHL|ATL|665|9|22|0||0|36|0|0|0|0
2008|7|4|5|738|745|1025|1020|OO|3983|N806SK|107|95|78|5|-7|PSC|SLC|521|20|9|0||0|NA|NA|NA|NA|NA
2008|9|13|6|1048|1050|1235|1250|WN|2352|N457WN|107|120|95|-15|-2|OAK|SEA|671|5|7|0||0|NA|NA|NA|NA|NA
2008|10|14|2|941|942|1108|1105|OO|3766|N431SW|87|83|59|3|-1|SLC|BIL|387|3|25|0||0|NA|NA|NA|NA|NA
2008|3|5|3|2341|2345|407|428|B6|727|N653JB|206|223|185|-21|-4|JFK|BQN|1576|5|16|0||0|NA|NA|NA|NA|NA
2008|1|17|4|721|720|1019|1012|DL|1863|N621DL|178|172|151|7|1|LGA|MCO|950|6|21|0||0|NA|NA|NA|NA|NA
2008|2|4|1|1944|1940|2058|2055|9E|2837|85889E|74|75|50|3|4|MEM|MOB|317|2|22|0||0|NA|NA|NA|NA|NA
2008|10|7|2|1358|1355|1656|1650|US|1753|N163US|118|115|92|6|3|ORD|CLT|599|7|19|0||0|NA|NA|NA|NA|NA
2008|3|16|7|1058|1055|1321|1255|WN|3083|N317WN|143|120|127|26|3|OAK|SEA|671|5|11|0||0|0|0|26|0|0
2008|3|17|1|1827|1825|2018|2005|FL|893|N175AT|171|160|153|13|2|TPA|MKE|1075|4|14|0||0|NA|NA|NA|NA|NA
2008|10|29|3|1418|1420|1515|1520|WN|27|N386SW|57|60|44|-5|-2|HOU|HRL|276|2|11|0||0|NA|NA|NA|NA|NA
2008|4|24|4|1949|1955|2113|2115|US|1786|N422US|84|80|61|-2|-6|JAX|CLT|329|11|12|0||0|NA|NA|NA|NA|NA
2008|12|12|5|727|730|834|840|AA|619|N418AA|67|70|43|-6|-3|SAT|DFW|247|14|10|0||0|NA|NA|NA|NA|NA
2008|6|16|1|1758|1800|1943|1933|OO|2671|N698BR|105|93|82|10|-2|MKE|BNA|475|6|17|0||0|NA|NA|NA|NA|NA
2008|7|29|2|1024|1025|1411|1355|AA|2041|N3CLAA|167|150|139|16|-1|IAH|MIA|964|10|18|0||0|0|0|16|0|0
2008|10|31|5|1208|1212|1443|1500|EV|5102|N973EV|95|108|78|-17|-4|FSM|ATL|579|9|8|0||0|NA|NA|NA|NA|NA
2008|2|19|2|2302|2250|10|2355|FL|331|N928AT|128|125|109|15|12|ATL|HOU|696|5|14|0||0|12|0|3|0|0
2008|10|17|5|1411|1418|1526|1547|YV|7331|N504MJ|75|89|52|-21|-7|JFK|IAD|228|3|20|0||0|NA|NA|NA|NA|NA
2008|8|3|7|1900|1900|2036|2112|OH|5273|N518CA|156|192|124|-36|0|JFK|STL|892|4|28|0||0|NA|NA|NA|NA|NA
2008|9|17|3|627|630|1211|1210|AA|1390|N494AA|224|220|205|1|-3|PDX|DFW|1616|11|8|0||0|NA|NA|NA|NA|NA
2008|2|2|6|929|930|1228|1208|OH|5697|N693CA|179|158|128|20|-1|CVG|MIA|948|6|45|0||0|0|0|20|0|0
2008|3|10|1|2049|2050|2150|2155|WN|2892|N713SW|61|65|50|-5|-1|OAK|BUR|325|2|9|0||0|NA|NA|NA|NA|NA
2008|11|5|3|2228|2235|2319|2339|UA|710|N829UA|51|64|34|-20|-7|SFO|RNO|192|4|13|0||0|NA|NA|NA|NA|NA
2008|9|6|6|1105|1105|1204|1215|WN|2409|N293|59|70|45|-11|0|LAS|BUR|223|2|12|0||0|NA|NA|NA|NA|NA
2008|8|2|6|1833|1845|2002|2012|CO|331|N58606|149|147|134|-10|-12|PBI|IAH|956|5|10|0||0|NA|NA|NA|NA|NA
2008|2|8|5|1325|1330|1554|1615|AA|1648|N404AA|89|105|72|-21|-5|COS|DFW|592|9|8|0||0|NA|NA|NA|NA|NA
2008|10|29|3|1655|1700|1754|1800|9E|5601|86969E|59|60|41|-6|-5|RHI|MSP|190|9|9|0||0|NA|NA|NA|NA|NA
2008|1|16|3|938|939|1021|1025|OO|5405|N579SW|43|46|30|-4|-1|SAN|LAX|109|5|8|0||0|NA|NA|NA|NA|NA
2008|3|23|7|1033|1041|1147|1151|XE|3083|N16918|74|70|56|-4|-8|MFE|IAH|316|8|10|0||0|NA|NA|NA|NA|NA
2008|4|11|5|1722|1725|1841|1859|OO|3799|N864AS|139|154|125|-18|-3|FAR|SLC|865|5|9|0||0|NA|NA|NA|NA|NA
2008|9|11|4|1155|1205|1305|1320|XE|2981|N12934|70|75|56|-15|-10|BRO|IAH|308|7|7|0||0|NA|NA|NA|NA|NA
2008|11|5|3|1156|1200|1319|1342|UA|679|N333UA|143|162|106|-23|-4|LGA|ORD|733|5|32|0||0|NA|NA|NA|NA|NA
2008|5|29|4|2020|2030|2315|2327|CO|639|N37281|175|177|154|-12|-10|MIA|EWR|1086|7|14|0||0|NA|NA|NA|NA|NA
2008|4|7|1|557|600|738|729|FL|498|N240AT|101|89|80|9|-3|IND|ATL|432|7|14|0||0|NA|NA|NA|NA|NA
2008|7|7|1|1654|1600|2002|1909|B6|462|N554JB|188|189|153|53|54|RSW|BOS|1249|4|31|0||0|0|0|32|0|21
2008|3|17|1|615|615|807|809|OH|5386|N818CA|112|114|100|-2|0|SAV|CVG|515|2|10|0||0|NA|NA|NA|NA|NA
2008|6|30|1|2140|2145|2213|2225|OO|5789|N271YV|33|40|26|-12|-5|PDX|EUG|106|1|6|0||0|NA|NA|NA|NA|NA
2008|3|12|3|1143|1140|1244|1245|OO|3687|N297SW|61|65|50|-1|3|SUN|SLC|223|5|6|0||0|NA|NA|NA|NA|NA
2008|7|14|1|1214|1200|1317|1248|AS|692|N570AS|63|48|35|29|14|SEA|GEG|224|5|23|0||0|0|0|15|0|14
2008|1|8|2|553|600|727|738|UA|201|N549UA|94|98|71|-11|-7|BOS|IAD|413|5|18|0||0|NA|NA|NA|NA|NA
2008|6|23|1|1828|1835|1815|1830|MQ|4280|N646AE|47|55|32|-15|-7|FWA|ORD|157|5|10|0||0|NA|NA|NA|NA|NA
2008|3|25|2|1603|1605|1827|1822|B6|1122|N239JB|144|137|117|5|-2|FLL|RIC|805|3|24|0||0|NA|NA|NA|NA|NA
2008|8|16|6|1020|1020|1215|1215|YV|2659|N913FJ|175|175|148|0|0|CLT|SAT|1095|7|20|0||0|NA|NA|NA|NA|NA
2008|11|3|1|2022|2020|2102|2115|WN|3150|N344SW|100|115|84|-13|2|BWI|BNA|588|7|9|0||0|NA|NA|NA|NA|NA
2008|2|6|3|1514|1505|1808|1805|MQ|3599|N942AE|114|120|89|3|9|DFW|TYS|772|3|22|0||0|NA|NA|NA|NA|NA
2008|6|14|6|1345|1340|1403|1400|WN|1899|N300SW|138|140|121|3|5|AUS|PHX|872|7|10|0||0|NA|NA|NA|NA|NA
2008|2|6|3|814|815|1045|1027|US|1495|N589US|151|132|109|18|-1|ROC|CLT|573|9|33|0||0|0|0|18|0|0
2008|7|27|7|559|600|706|700|MQ|4385|N654AE|127|120|101|6|-1|CLT|ORD|599|4|22|0||0|NA|NA|NA|NA|NA
2008|2|24|7|NA|1015|NA|1025|WN|2983||NA|70|NA|NA|NA|CMH|MDW|284|NA|NA|1|B|0|NA|NA|NA|NA|NA
2008|9|3|3|1928|1900|2032|2000|MQ|3031|N250AE|64|60|37|32|28|LAX|SAN|109|7|20|0||0|0|0|32|0|0
2008|7|24|4|945|945|1146|1155|AA|1745|N5EMAA|241|250|220|-9|0|ORD|LAX|1745|7|14|0||0|NA|NA|NA|NA|NA
2008|12|27|6|2129|1955|2228|2045|YV|7110|N513MJ|59|50|22|103|94|ORD|MKE|67|19|18|0||0|0|0|9|0|94
2008|4|1|2|1804|1640|2055|1935|WN|2970|N210WN|171|175|158|80|84|ISP|FLL|1093|6|7|0||0|80|0|0|0|0
2008|5|16|5|836|825|1047|1040|WN|1595|N910WN|131|135|114|7|11|BWI|MCO|787|7|10|0||0|NA|NA|NA|NA|NA
2008|1|15|2|915|915|1154|1200|MQ|3908|N513AE|99|105|83|-6|0|ORD|DCA|612|3|13|0||0|NA|NA|NA|NA|NA
2008|10|2|4|955|1002|1543|1543|DL|892|N910DN|228|221|199|0|-7|SLC|CLE|1565|5|24|0||0|NA|NA|NA|NA|NA
2008|9|3|3|1605|1611|1705|1705|EV|4595|N838AS|60|54|27|0|-6|ATL|ABY|146|4|29|0||0|NA|NA|NA|NA|NA
2008|6|22|7|1759|1800|1856|1911|US|1673|N711UW|57|71|46|-15|-1|RIC|CLT|256|3|8|0||0|NA|NA|NA|NA|NA
2008|12|8|1|NA|1200|NA|1451|AS|503|N609AS|NA|171|NA|NA|NA|SNA|SEA|978|NA|NA|1|A|0|NA|NA|NA|NA|NA
2008|8|1|5|1119|1116|1214|1216|NW|611|N340NW|175|180|158|-2|3|MSP|GEG|1175|4|13|0||0|NA|NA|NA|NA|NA
2008|11|28|5|644|645|737|743|OO|4525|N411SW|53|58|38|-6|-1|GJT|SLC|217|4|11|0||0|NA|NA|NA|NA|NA
2008|7|9|3|1859|1900|1913|1920|WN|1414|N788SA|74|80|59|-7|-1|SLC|LAS|368|5|10|0||0|NA|NA|NA|NA|NA
2008|6|25|3|1046|1045|1147|1200|WN|3672|N756SA|61|75|45|-13|1|SAN|LAS|258|7|9|0||0|NA|NA|NA|NA|NA
2008|9|2|2|1657|1643|1809|1809|DL|817|N947DL|192|206|168|0|14|ATL|ABQ|1269|7|17|0||0|NA|NA|NA|NA|NA
2008|6|25|3|624|614|820|814|XE|2009|N21154|176|180|153|6|10|EWR|MCI|1092|4|19|0||0|NA|NA|NA|NA|NA
2008|5|3|6|653|700|749|751|F9|785|N809FR|116|111|96|-2|-7|DEN|LAS|629|7|13|0||0|NA|NA|NA|NA|NA
2008|2|1|5|715|700|817|800|9E|5749|85439E|122|120|99|17|15|CHS|MEM|589|3|20|0||0|15|0|2|0|0
2008|3|26|3|606|610|849|850|US|954|N418US|163|160|144|-1|-4|FLL|PHL|992|8|11|0||0|NA|NA|NA|NA|NA
2008|3|30|7|552|600|753|810|MQ|4101|N656AE|121|130|93|-17|-8|OKC|ORD|693|10|18|0||0|NA|NA|NA|NA|NA
2008|10|15|3|730|735|1012|1003|DL|700|N979DL|162|148|128|9|-5|ATL|BOS|946|11|23|0||0|NA|NA|NA|NA|NA
2008|8|11|1|1834|1830|1931|1930|EV|4203|N924EV|117|120|93|1|4|ATL|TUL|674|5|19|0||0|NA|NA|NA|NA|NA
2008|11|19|3|1700|1705|1923|1955|AA|2293|N467AA|143|170|126|-32|-5|ORD|AUS|978|4|13|0||0|NA|NA|NA|NA|NA
2008|5|30|5|1327|1330|1532|1540|AS|346|N944AS|125|130|106|-8|-3|SEA|OAK|671|5|14|0||0|NA|NA|NA|NA|NA
2008|10|22|3|1122|1125|1210|1215|OO|5795|N221SW|48|50|34|-5|-3|SEA|PDX|129|2|12|0||0|NA|NA|NA|NA|NA
2008|12|2|2|1805|1757|2022|2010|CO|307|N13113|257|253|228|12|8|IAH|SFO|1635|11|18|0||0|NA|NA|NA|NA|NA
2008|1|17|4|631|630|936|920|WN|2974|N271WN|125|110|110|16|1|LAX|SLC|590|7|8|0||0|0|0|16|0|0
2008|12|16|2|1702|1705|1923|1919|XE|3005|N11536|141|134|101|4|-3|EWR|CLT|529|19|21|0||0|NA|NA|NA|NA|NA
2008|12|6|6|654|700|819|827|US|178|N836AW|85|87|68|-8|-6|SFO|LAS|414|5|12|0||0|NA|NA|NA|NA|NA
2008|1|23|3|741|745|1050|1057|UA|524|N823UA|129|132|104|-7|-4|ORD|BOS|867|9|16|0||0|NA|NA|NA|NA|NA
2008|3|21|5|1736|1729|2008|2001|UA|409|N551UA|272|272|229|7|7|LGA|DEN|1619|10|33|0||0|NA|NA|NA|NA|NA
2008|5|10|6|1712|1714|1808|1805|AS|66|N765AS|56|51|36|3|-2|CDV|YAK|213|6|14|0||0|NA|NA|NA|NA|NA
2008|3|18|2|NA|1017|NA|1159|US|472||NA|102|NA|NA|NA|PHX|BUR|369|NA|NA|1|A|0|NA|NA|NA|NA|NA
2008|11|13|4|725|725|906|922|XE|2843|N11192|161|177|141|-16|0|IAH|PHX|1009|6|14|0||0|NA|NA|NA|NA|NA
2008|1|17|4|842|840|952|1000|WN|352|N797MX|70|80|58|-8|2|OAK|SNA|371|3|9|0||0|NA|NA|NA|NA|NA
2008|11|30|7|1523|1526|1634|1647|YV|2715|N909FJ|71|81|55|-13|-3|ELP|PHX|347|9|7|0||0|NA|NA|NA|NA|NA
2008|4|10|4|1259|1230|1555|1540|CO|1500|N59338|176|190|143|15|29|FLL|EWR|1065|9|24|0||0|0|0|3|0|12
2008|5|20|2|729|730|848|855|WN|2539|N331SW|199|205|182|-7|-1|MCI|LAX|1363|10|7|0||0|NA|NA|NA|NA|NA
2008|11|20|4|1615|1605|1732|1722|XE|2087|N15941|77|77|56|10|10|IAH|JAN|351|8|13|0||0|NA|NA|NA|NA|NA
2008|5|1|4|1130|1108|1312|1230|F9|585|N950FR|102|82|63|42|22|DEN|SLC|391|5|34|0||0|0|0|20|0|22
2008|9|12|5|1205|1130|1247|1210|YV|1003|N77278|42|40|27|37|35|HNL|KOA|163|3|12|0||0|37|0|0|0|0
2008|8|1|5|719|715|1022|1030|CO|706|N15712|123|135|110|-8|4|IAH|TPA|787|3|10|0||0|NA|NA|NA|NA|NA
2008|5|30|5|1000|1005|1237|1250|WN|2698|N727SW|157|165|147|-13|-5|MCO|PVD|1073|3|7|0||0|NA|NA|NA|NA|NA
2008|4|15|2|1052|1101|1212|1230|UA|281|N303UA|140|149|114|-18|-9|BDL|ORD|783|8|18|0||0|NA|NA|NA|NA|NA
2008|5|17|6|2230|2230|750|738|US|47|N909AW|380|368|362|12|0|LIH|PHX|2979|7|11|0||0|NA|NA|NA|NA|NA
2008|11|11|2|1758|1759|2004|2011|NW|529|N923RW|126|132|87|-7|-1|LGA|DTW|501|11|28|0||0|NA|NA|NA|NA|NA
2008|4|29|2|1701|1700|1902|1849|NW|1226|N375NC|121|109|86|13|1|DTW|BOS|632|15|20|0||0|NA|NA|NA|NA|NA
2008|12|23|2|613|615|909|915|WN|3084|N483WN|116|120|94|-6|-2|MDW|ISP|765|3|19|0||0|NA|NA|NA|NA|NA
2008|6|24|2|1556|1600|2133|2134|NW|354|N355NW|217|214|187|-1|-4|SFO|MSP|1589|8|22|0||0|NA|NA|NA|NA|NA
2008|7|31|4|1119|1117|1206|1154|OO|3765|N913EV|107|97|76|12|2|SLC|FAT|501|5|26|0||0|NA|NA|NA|NA|NA
2008|8|3|7|834|835|1050|1049|DL|834|N398DA|136|134|103|1|-1|ATL|EWR|745|7|26|0||0|NA|NA|NA|NA|NA
2008|4|22|2|2007|2012|2239|2231|UA|321|N416UA|272|259|252|8|-5|ORD|PDX|1739|4|16|0||0|NA|NA|NA|NA|NA
2008|9|20|6|1434|1429|1600|1605|OO|6334|N982SW|86|96|65|-5|5|SGF|ORD|438|7|14|0||0|NA|NA|NA|NA|NA
2008|11|22|6|1122|1125|1221|1225|MQ|4316|N664MQ|59|60|36|-4|-3|CID|ORD|196|18|5|0||0|NA|NA|NA|NA|NA
2008|12|22|1|846|840|939|942|OO|5772|N565SW|53|62|43|-3|6|PSP|LAS|173|3|7|0||0|NA|NA|NA|NA|NA
2008|4|12|6|1509|1455|1859|1859|DL|426|N634DL|230|244|201|0|14|SJU|ATL|1547|8|21|0||0|NA|NA|NA|NA|NA
2008|7|18|5|639|645|747|800|US|511|N840AW|68|75|47|-13|-6|LAS|PHX|256|5|16|0||0|NA|NA|NA|NA|NA
2008|12|11|4|1647|1440|1916|1654|US|1439|N516AU|149|134|120|142|127|ALB|CLT|646|5|24|0||0|0|0|41|0|101
2008|5|25|7|1005|855|1117|1010|MQ|3368|N685AE|72|75|57|67|70|LIT|DFW|304|10|5|0||0|0|0|0|0|67
2008|8|10|7|930|928|1120|1135|NW|477|N775NC|110|127|88|-15|2|DTW|ATL|594|7|15|0||0|NA|NA|NA|NA|NA
2008|7|29|2|2032|2035|2354|2350|AA|678|N431AA|142|135|109|4|-3|LAX|DEN|862|9|24|0||0|NA|NA|NA|NA|NA
2008|10|16|4|1020|1025|1118|1130|9E|2959|85059E|58|65|37|-12|-5|CMH|DTW|155|10|11|0||0|NA|NA|NA|NA|NA
2008|9|1|1|2113|2110|952|955|CO|72|N69063|459|465|437|-3|3|HNL|IAH|3904|5|17|0||0|NA|NA|NA|NA|NA
2008|7|13|7|806|810|1104|1130|WN|2979|N298WN|178|200|167|-26|-4|MHT|FLL|1263|2|9|0||0|NA|NA|NA|NA|NA
2008|3|7|5|NA|1110|NA|1416|OH|5382||NA|126|NA|NA|NA|OKC|CVG|756|NA|NA|1|B|0|NA|NA|NA|NA|NA
2008|5|26|1|1946|1950|2112|2115|WN|355|N650SW|86|85|61|-3|-4|MHT|PHL|290|17|8|0||0|NA|NA|NA|NA|NA
2008|6|20|5|1320|1325|1559|1620|9E|3762|80209E|99|115|78|-21|-5|DSM|DTW|534|11|10|0||0|NA|NA|NA|NA|NA
2008|2|12|2|1434|1442|1641|1652|DL|1798|N967DL|67|70|43|-11|-8|PNS|ATL|272|13|11|0||0|NA|NA|NA|NA|NA
